N,seq,par-1,par-2,par-3,par-4
1600,11,12,12,12,13
54140,537,533,537,549,543
106680,1107,979,987,988,973
159220,1476,1456,1506,1484,1585
211760,2018,1999,1977,1985,1924
264300,2470,2445,2447,2431,2427
316840,2978,2919,2939,2958,2940
369380,3483,3460,3442,3457,3523
421920,3992,3931,3941,3976,3989
474460,4505,4440,4464,4470,4477
